hugo_symbol,entrez_gene_id,number_of_samples_mutated_at_gene,total_number_of_mutated_samples,overall_mutation_frequency,cancer_type,number_of_samples_with_gains,number_of_samples_with_losses,total_number_of_samples,percent_of_samples_with_gains,percent_of_samples_with_losses,dataset_name,is_oncogene,is_tumor_suppressor_gene
ALOX12,239,7,1009,0.69,BRCA,54,650,1070,5.05,60.75,cBioPortal,,
RANGRF,29098,2,1009,0.20,BRCA,56,643,1070,5.23,60.09,cBioPortal,,
MIR4660,100616350,,,,BRCA,150,555,1070,14.02,51.87,cBioPortal,,
SHCBP1,79801,3,1009,0.30,BRCA,166,571,1070,15.51,53.36,cBioPortal,,
CASC16,643714,,,,BRCA,146,598,1070,13.64,55.89,cBioPortal,,
MIR3622B,100500871,,,,BRCA,156,560,1070,14.58,52.34,cBioPortal,,
C8orf74,203076,2,1009,0.20,BRCA,149,556,1070,13.93,51.96,cBioPortal,,
DOK4,55715,1,1009,0.10,BRCA,115,638,1070,10.75,59.63,cBioPortal,,
SNORA46,677827,,,,BRCA,102,654,1070,9.53,61.12,cBioPortal,,
MIR548I3,100302186,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
AKTIP,64400,3,1009,0.30,BRCA,145,598,1070,13.55,55.89,cBioPortal,,
PIEZO1,9780,11,1009,1.09,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
IRX3,79191,2,1009,0.20,BRCA,147,596,1070,13.74,55.70,cBioPortal,,
MIR1253,100302208,,,,BRCA,72,616,1070,6.73,57.57,cBioPortal,,
B3GNT9,84752,1,1009,0.10,BRCA,97,669,1070,9.07,62.52,cBioPortal,,
CLEC3A,10143,1,1009,0.10,BRCA,103,676,1070,9.63,63.18,cBioPortal,,
DEFA3,1668,1,1009,0.10,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
CMC2,56942,,,,BRCA,96,682,1070,8.97,63.74,cBioPortal,,
FAM211A-AS1,125144,,,,BRCA,73,605,1070,6.82,56.54,cBioPortal,,
SETD6,79918,1,1009,0.10,BRCA,102,654,1070,9.53,61.12,cBioPortal,No,No
NOB1,28987,3,1009,0.30,BRCA,106,661,1070,9.91,61.78,cBioPortal,,
JPH3,57338,1,1009,0.10,BRCA,101,685,1070,9.44,64.02,cBioPortal,,
LOXL2,4017,3,1009,0.30,BRCA,145,579,1070,13.55,54.11,cBioPortal,,
PIGL,9487,2,1009,0.20,BRCA,68,615,1070,6.36,57.48,cBioPortal,,
RPAIN,84268,2,1009,0.20,BRCA,63,628,1070,5.89,58.69,cBioPortal,,
SNORD68,606500,,,,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
TEKT3,64518,2,1009,0.20,BRCA,58,625,1070,5.42,58.41,cBioPortal,,
KCTD19,146212,6,1009,0.59,BRCA,96,671,1070,8.97,62.71,cBioPortal,,
PARD6A,50855,1,1009,0.10,BRCA,94,675,1070,8.79,63.08,cBioPortal,,
CES3,23491,1,1009,0.10,BRCA,96,667,1070,8.97,62.34,cBioPortal,,
LDHD,197257,1,1009,0.10,BRCA,110,665,1070,10.28,62.15,cBioPortal,,
USP32P1,162632,,,,BRCA,76,598,1070,7.10,55.89,cBioPortal,,
PBK,55872,4,1009,0.40,BRCA,156,560,1070,14.58,52.34,cBioPortal,,
BCL6B,255877,3,1009,0.30,BRCA,53,651,1070,4.95,60.84,cBioPortal,,
PRSS55,203074,1,1009,0.10,BRCA,150,555,1070,14.02,51.87,cBioPortal,,
NEIL2,252969,,,,BRCA,148,557,1070,13.83,52.06,cBioPortal,,
LINC03019,340357,,,,BRCA,149,556,1070,13.93,51.96,cBioPortal,,
PER1,5187,8,1009,0.79,BRCA,56,645,1070,5.23,60.28,cBioPortal,No,No
GGT6,124975,,,,BRCA,74,620,1070,6.92,57.94,cBioPortal,,
PAPD5,64282,,,,BRCA,142,601,1070,13.27,56.17,cBioPortal,,
SMCR5,140771,,,,BRCA,84,576,1070,7.85,53.83,cBioPortal,,
VAC14,55697,6,1009,0.59,BRCA,104,659,1070,9.72,61.59,cBioPortal,,
ABCC12,94160,12,1009,1.19,BRCA,175,565,1070,16.36,52.80,cBioPortal,,
HMBOX1,79618,3,1009,0.30,BRCA,154,561,1070,14.39,52.43,cBioPortal,,
IRX5,10265,,,,BRCA,141,600,1070,13.18,56.07,cBioPortal,,
NDEL1,81565,,,,BRCA,57,642,1070,5.33,60.00,cBioPortal,,
CCDC144B,284047,1,1009,0.10,BRCA,89,567,1070,8.32,52.99,cBioPortal,,
MC1R,4157,,,,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
CTC1,80169,5,1009,0.50,BRCA,56,644,1070,5.23,60.19,cBioPortal,,
RNMTL1,55178,,,,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
PNMA2,10687,4,1009,0.40,BRCA,150,569,1070,14.02,53.18,cBioPortal,,
ZNF423,23090,8,1009,0.79,BRCA,157,586,1070,14.67,54.77,cBioPortal,,
PCM1,5108,8,1009,0.79,BRCA,153,560,1070,14.30,52.34,cBioPortal,No,No
CMTM3,123920,,,,BRCA,97,665,1070,9.07,62.15,cBioPortal,,
ASGR2,433,2,1009,0.20,BRCA,53,651,1070,4.95,60.84,cBioPortal,,
P2RX5,5026,4,1009,0.40,BRCA,71,618,1070,6.64,57.76,cBioPortal,,
SF3B3,23450,6,1009,0.59,BRCA,108,657,1070,10.09,61.40,cBioPortal,,
PDXDC2P-NPIPB14P,283970,,,,BRCA,104,660,1070,9.72,61.68,cBioPortal,,
FGF20,26281,,,,BRCA,148,559,1070,13.83,52.24,cBioPortal,,
FOXO3B,2310,,,,BRCA,89,568,1070,8.32,53.08,cBioPortal,,
DPYSL2,1808,4,1009,0.40,BRCA,150,570,1070,14.02,53.27,cBioPortal,,
DMTN,2039,2,1009,0.20,BRCA,146,573,1070,13.64,53.55,cBioPortal,,
SENP3,26168,2,1009,0.20,BRCA,52,651,1070,4.86,60.84,cBioPortal,,
LONRF1,91694,6,1009,0.59,BRCA,149,556,1070,13.93,51.96,cBioPortal,,
FZD3,7976,6,1009,0.59,BRCA,156,558,1070,14.58,52.15,cBioPortal,,
RNF227,284023,,,,BRCA,58,645,1070,5.42,60.28,cBioPortal,,
CTRB2,440387,,,,BRCA,109,667,1070,10.19,62.34,cBioPortal,,
GNRH1,2796,2,1009,0.20,BRCA,144,575,1070,13.46,53.74,cBioPortal,,
GALNS,2588,2,1009,0.20,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
TRPV1,7442,2,1009,0.20,BRCA,71,618,1070,6.64,57.76,cBioPortal,,
DEFB4B,100289462,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
PRR23D1,100131608,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
MTUS1,57509,3,1009,0.30,BRCA,154,558,1070,14.39,52.15,cBioPortal,,
EBF2,64641,7,1009,0.69,BRCA,146,573,1070,13.64,53.55,cBioPortal,,
TOX3,27324,7,1009,0.69,BRCA,145,600,1070,13.55,56.07,cBioPortal,,
SNTB2,6645,1,1009,0.10,BRCA,103,665,1070,9.63,62.15,cBioPortal,,
FAM211A,388341,,,,BRCA,73,605,1070,6.82,56.54,cBioPortal,,
TEPP,374739,1,1009,0.10,BRCA,105,649,1070,9.81,60.65,cBioPortal,,
GINS3,64785,4,1009,0.40,BRCA,103,653,1070,9.63,61.03,cBioPortal,,
DEFB103B,55894,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
COX10,1352,5,1009,0.50,BRCA,54,627,1070,5.05,58.60,cBioPortal,,
CBLN1,869,2,1009,0.20,BRCA,153,585,1070,14.30,54.67,cBioPortal,,
HSBP1,3281,1,1009,0.10,BRCA,98,685,1070,9.16,64.02,cBioPortal,,
ZNF594-DT,100130950,,,,BRCA,68,624,1070,6.36,58.32,cBioPortal,,
GOT2,2806,1,1009,0.10,BRCA,102,652,1070,9.53,60.93,cBioPortal,,
DUS2,54920,3,1009,0.30,BRCA,99,668,1070,9.25,62.43,cBioPortal,,
PRDM7,11105,3,1009,0.30,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
PLSCR3,57048,,,,BRCA,54,648,1070,5.05,60.56,cBioPortal,,
RNF167,26001,,,,BRCA,71,620,1070,6.64,57.94,cBioPortal,,
PSMB6,5694,2,1009,0.20,BRCA,72,619,1070,6.73,57.85,cBioPortal,,
LINC01082,100506542,,,,BRCA,102,681,1070,9.53,63.64,cBioPortal,,
ATMIN,23300,4,1009,0.40,BRCA,97,681,1070,9.07,63.64,cBioPortal,,
NAE1,8883,2,1009,0.20,BRCA,98,664,1070,9.16,62.06,cBioPortal,,
CENPV,201161,,,,BRCA,71,609,1070,6.64,56.92,cBioPortal,,
MIR7851|chr16,102467003,,,,BRCA,103,683,1070,9.63,63.83,cBioPortal,,
MIR4731,100616125,,,,BRCA,58,625,1070,5.42,58.41,cBioPortal,,
MIR4314,100422983,,,,BRCA,56,645,1070,5.23,60.28,cBioPortal,,
FAM106CP,100129396,,,,BRCA,76,598,1070,7.10,55.89,cBioPortal,,
LOC729732,729732,,,,BRCA,147,561,1070,13.74,52.43,cBioPortal,,
CENPN,55839,1,1009,0.10,BRCA,97,681,1070,9.07,63.64,cBioPortal,,
MIR6863,102466752,,,,BRCA,119,636,1070,11.12,59.44,cBioPortal,,
TOP3A,7156,4,1009,0.40,BRCA,88,567,1070,8.22,52.99,cBioPortal,,
CKLF-CMTM1,100529251,,,,BRCA,97,665,1070,9.07,62.15,cBioPortal,,
DHRS7C,201140,5,1009,0.50,BRCA,55,645,1070,5.14,60.28,cBioPortal,,
PIK3R5,23533,2,1009,0.20,BRCA,57,644,1070,5.33,60.19,cBioPortal,,
SPATA2L,124044,,,,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
BANP,54971,1,1009,0.10,BRCA,106,682,1070,9.91,63.74,cBioPortal,,
GNAO1,2775,3,1009,0.30,BRCA,120,637,1070,11.21,59.53,cBioPortal,,
TDH,157739,,,,BRCA,147,556,1070,13.74,51.96,cBioPortal,,
AARS,16,,,,BRCA,104,660,1070,9.72,61.68,cBioPortal,,
ZNF232,7775,3,1009,0.30,BRCA,66,626,1070,6.17,58.50,cBioPortal,,
DEFA9P,449492,,,,BRCA,147,559,1070,13.74,52.24,cBioPortal,,
DOCK5,80005,12,1009,1.19,BRCA,145,573,1070,13.55,53.55,cBioPortal,,
CDK10,8558,3,1009,0.30,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
LINC02180,102467079,,,,BRCA,146,596,1070,13.64,55.70,cBioPortal,,
DBNDD1,79007,1,1009,0.10,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
CLEC18C,283971,3,1009,0.30,BRCA,104,660,1070,9.72,61.68,cBioPortal,,
NUP88,4927,4,1009,0.40,BRCA,64,626,1070,5.98,58.50,cBioPortal,,
C16orf74,404550,,,,BRCA,103,682,1070,9.63,63.74,cBioPortal,,
SCO1,6341,,,,BRCA,55,639,1070,5.14,59.72,cBioPortal,,
SHPK,23729,1,1009,0.10,BRCA,71,618,1070,6.64,57.76,cBioPortal,,
PDF,64146,,,,BRCA,103,664,1070,9.63,62.06,cBioPortal,,
TAX1BP3,30851,1,1009,0.10,BRCA,71,618,1070,6.64,57.76,cBioPortal,,
SPNS2,124976,2,1009,0.20,BRCA,75,620,1070,7.01,57.94,cBioPortal,,
ADAT1,23536,3,1009,0.30,BRCA,106,668,1070,9.91,62.43,cBioPortal,,
CDRT15P1,94158,,,,BRCA,54,627,1070,5.05,58.60,cBioPortal,,
MIR4520B,100616466,,,,BRCA,55,641,1070,5.14,59.91,cBioPortal,,
CLEC18A,348174,1,1009,0.10,BRCA,104,660,1070,9.72,61.68,cBioPortal,,
GS1-24F4.2,100652791,,,,BRCA,148,558,1070,13.83,52.15,cBioPortal,,
DEFA4,1669,2,1009,0.20,BRCA,148,559,1070,13.83,52.24,cBioPortal,,
MIR140,406932,,,,BRCA,106,659,1070,9.91,61.59,cBioPortal,,
MINK1,50488,5,1009,0.50,BRCA,72,618,1070,6.73,57.76,cBioPortal,,
FLII,2314,7,1009,0.69,BRCA,87,567,1070,8.13,52.99,cBioPortal,,
CDCA2,157313,8,1009,0.79,BRCA,143,576,1070,13.36,53.83,cBioPortal,,
TMED6,146456,1,1009,0.10,BRCA,104,663,1070,9.72,61.96,cBioPortal,,
ZFP3,124961,5,1009,0.50,BRCA,69,622,1070,6.45,58.13,cBioPortal,,
CYB5B,80777,,,,BRCA,105,661,1070,9.81,61.78,cBioPortal,,
ENKD1,84080,,,,BRCA,94,675,1070,8.79,63.08,cBioPortal,,
PTK2B,2185,8,1009,0.79,BRCA,156,564,1070,14.58,52.71,cBioPortal,,
ABCC11,85320,7,1009,0.69,BRCA,173,565,1070,16.17,52.80,cBioPortal,,
MIR8055,102465861,,,,BRCA,148,560,1070,13.83,52.34,cBioPortal,,
FAM90A7P,441317,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
URAHP,100130015,,,,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
LOC254896,254896,,,,BRCA,143,581,1070,13.36,54.30,cBioPortal,,
CHTF8,54921,,,,BRCA,100,665,1070,9.35,62.15,cBioPortal,No,Yes
LGALS9C,654346,,,,BRCA,89,567,1070,8.32,52.99,cBioPortal,,
ZNF276,92822,3,1009,0.30,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
C8orf49,606553,,,,BRCA,148,557,1070,13.83,52.06,cBioPortal,,
LINC02153,286114,,,,BRCA,145,567,1070,13.55,52.99,cBioPortal,,
MIS12,79003,2,1009,0.20,BRCA,64,627,1070,5.98,58.60,cBioPortal,,
RNF222,643904,1,1009,0.10,BRCA,56,641,1070,5.23,59.91,cBioPortal,,
FLJ30679,146512,,,,BRCA,103,681,1070,9.63,63.64,cBioPortal,,
SNORD111B,100113402,,,,BRCA,107,658,1070,10.00,61.50,cBioPortal,,
TNFSF12,8742,2,1009,0.20,BRCA,53,650,1070,4.95,60.75,cBioPortal,,
CDH5,1003,1,1009,0.10,BRCA,98,666,1070,9.16,62.24,cBioPortal,,
TNFRSF10B,8795,,,,BRCA,144,580,1070,13.46,54.21,cBioPortal,,
NT5M,56953,1,1009,0.10,BRCA,83,583,1070,7.76,54.49,cBioPortal,,
XKR6,286046,6,1009,0.59,BRCA,150,556,1070,14.02,51.96,cBioPortal,,
DLG4,1742,3,1009,0.30,BRCA,54,650,1070,5.05,60.75,cBioPortal,,
GID4,79018,1,1009,0.10,BRCA,85,574,1070,7.94,53.64,cBioPortal,No,No
KIAA0895L,653319,,,,BRCA,97,669,1070,9.07,62.52,cBioPortal,,
C17orf74,201243,,,,BRCA,54,647,1070,5.05,60.47,cBioPortal,,
SCARA3,51435,3,1009,0.30,BRCA,156,561,1070,14.58,52.43,cBioPortal,,
ARHGAP44,9912,,,,BRCA,55,632,1070,5.14,59.07,cBioPortal,,
C8orf58,541565,1,1009,0.10,BRCA,144,577,1070,13.46,53.93,cBioPortal,,
PDPR2P,283922,,,,BRCA,106,665,1070,9.91,62.15,cBioPortal,,
SNORD71,692111,,,,BRCA,105,659,1070,9.81,61.59,cBioPortal,,
CBFA2T3,863,1,1009,0.10,BRCA,109,681,1070,10.19,63.64,cBioPortal,No,Yes
MMP2,4313,4,1009,0.40,BRCA,133,612,1070,12.43,57.20,cBioPortal,,
LOC389641,389641,,,,BRCA,144,579,1070,13.46,54.11,cBioPortal,,
RNF166,115992,,,,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
PSMD7-DT,101928035,,,,BRCA,107,665,1070,10.00,62.15,cBioPortal,,
PRPF8,10594,11,1009,1.09,BRCA,74,617,1070,6.92,57.66,cBioPortal,No,Yes
CHRNE,1145,2,1009,0.20,BRCA,71,619,1070,6.64,57.85,cBioPortal,,
BHLHA9,727857,,,,BRCA,75,618,1070,7.01,57.76,cBioPortal,,
TEKT1,83659,1,1009,0.10,BRCA,56,646,1070,5.23,60.37,cBioPortal,,
BBS2,583,5,1009,0.50,BRCA,120,638,1070,11.21,59.63,cBioPortal,,
MED11,400569,,,,BRCA,71,620,1070,6.64,57.94,cBioPortal,,
KIFC3,3801,7,1009,0.69,BRCA,106,648,1070,9.91,60.56,cBioPortal,,
MTMR7,9108,4,1009,0.40,BRCA,152,560,1070,14.21,52.34,cBioPortal,,
ZDHHC1,29800,5,1009,0.50,BRCA,97,671,1070,9.07,62.71,cBioPortal,,
ZNF19,7567,1,1009,0.10,BRCA,105,659,1070,9.81,61.59,cBioPortal,,
MIEF2,125170,,,,BRCA,87,567,1070,8.13,52.99,cBioPortal,,
SLC6A2,6530,3,1009,0.30,BRCA,133,615,1070,12.43,57.48,cBioPortal,,
STX8,9482,1,1009,0.10,BRCA,56,644,1070,5.23,60.19,cBioPortal,,
MLYCD,23417,3,1009,0.30,BRCA,98,686,1070,9.16,64.11,cBioPortal,,
VPS9D1,9605,3,1009,0.30,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
MT1F,4494,,,,BRCA,121,636,1070,11.31,59.44,cBioPortal,,
IRF8,3394,2,1009,0.20,BRCA,102,682,1070,9.53,63.74,cBioPortal,No,Yes
ZNF705G,100131980,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
SNORA48,652965,,,,BRCA,52,651,1070,4.86,60.84,cBioPortal,,
MON1B,22879,4,1009,0.40,BRCA,101,674,1070,9.44,62.99,cBioPortal,,
GINS2,51659,1,1009,0.10,BRCA,102,682,1070,9.53,63.74,cBioPortal,,
CLDN7,1366,1,1009,0.10,BRCA,54,649,1070,5.05,60.65,cBioPortal,,
ZDHHC7,55625,2,1009,0.20,BRCA,103,684,1070,9.63,63.93,cBioPortal,,
FAM57A,79850,,,,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
MIR6841,102465506,,,,BRCA,143,576,1070,13.36,53.83,cBioPortal,,
MIR6775,102465464,,,,BRCA,103,683,1070,9.63,63.83,cBioPortal,,
SENP3-EIF4A1,100533955,,,,BRCA,52,651,1070,4.86,60.84,cBioPortal,,
ZBTB4,57659,3,1009,0.30,BRCA,54,647,1070,5.05,60.47,cBioPortal,,
FAM192A,80011,,,,BRCA,117,641,1070,10.93,59.91,cBioPortal,,
ATP2C2,9914,7,1009,0.69,BRCA,102,686,1070,9.53,64.11,cBioPortal,,
NECAB2,54550,2,1009,0.20,BRCA,98,686,1070,9.16,64.11,cBioPortal,,
MT1E,4493,,,,BRCA,120,637,1070,11.21,59.53,cBioPortal,,
PLLP,51090,2,1009,0.20,BRCA,116,640,1070,10.84,59.81,cBioPortal,,
DNAH2,146754,26,1009,2.58,BRCA,56,650,1070,5.23,60.75,cBioPortal,,
SLC35G6,643664,1,1009,0.10,BRCA,54,647,1070,5.05,60.47,cBioPortal,,
MSR1,4481,2,1009,0.20,BRCA,149,560,1070,13.93,52.34,cBioPortal,,
LPL,4023,4,1009,0.40,BRCA,145,565,1070,13.55,52.80,cBioPortal,,
RAP1GAP2,23108,,,,BRCA,69,620,1070,6.45,57.94,cBioPortal,,
CNOT1,23019,16,1009,1.59,BRCA,102,654,1070,9.53,61.12,cBioPortal,,
HSF4,3299,2,1009,0.20,BRCA,97,669,1070,9.07,62.52,cBioPortal,,
SNORD91B,692208,,,,BRCA,75,614,1070,7.01,57.38,cBioPortal,,
RFWD3,55159,6,1009,0.59,BRCA,106,663,1070,9.91,61.96,cBioPortal,,
GATA4,2626,1,1009,0.10,BRCA,148,558,1070,13.83,52.15,cBioPortal,No,Yes
KRBA2,124751,3,1009,0.30,BRCA,55,641,1070,5.14,59.91,cBioPortal,,
RPA1,6117,2,1009,0.20,BRCA,73,618,1070,6.82,57.76,cBioPortal,,
MYO15A,51168,12,1009,1.19,BRCA,89,567,1070,8.32,52.99,cBioPortal,,
OR3A4P,390756,,,,BRCA,71,616,1070,6.64,57.57,cBioPortal,,
CYB5D2,124936,2,1009,0.20,BRCA,72,620,1070,6.73,57.94,cBioPortal,,
ZNRF1,84937,2,1009,0.20,BRCA,111,664,1070,10.37,62.06,cBioPortal,,
PABPN1L,390748,2,1009,0.20,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
CDH3,1001,2,1009,0.20,BRCA,101,664,1070,9.44,62.06,cBioPortal,,
LINC02087,101928567,,,,BRCA,62,622,1070,5.79,58.13,cBioPortal,,
PDGFRL,5157,1,1009,0.10,BRCA,151,559,1070,14.11,52.24,cBioPortal,,
CHD3,1107,13,1009,1.29,BRCA,58,645,1070,5.42,60.28,cBioPortal,,
HYDIN,54768,32,1009,3.17,BRCA,102,662,1070,9.53,61.87,cBioPortal,,
MYLK3,91807,3,1009,0.30,BRCA,169,566,1070,15.79,52.90,cBioPortal,,
VMO1,284013,1,1009,0.10,BRCA,72,619,1070,6.73,57.85,cBioPortal,,
NKX3-1,4824,2,1009,0.20,BRCA,145,579,1070,13.55,54.11,cBioPortal,No,Yes
ABR,29,8,1009,0.79,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
ALOX12-AS1,100506713,,,,BRCA,54,650,1070,5.05,60.75,cBioPortal,,
MIR497,574456,,,,BRCA,53,651,1070,4.95,60.84,cBioPortal,,
LINC00208,83655,,,,BRCA,147,558,1070,13.74,52.15,cBioPortal,,
CSGALNACT1,55790,2,1009,0.20,BRCA,147,563,1070,13.74,52.62,cBioPortal,,
CAMKK1,84254,3,1009,0.30,BRCA,74,618,1070,6.92,57.76,cBioPortal,,
DDX19A,55308,,,,BRCA,104,660,1070,9.72,61.68,cBioPortal,,
NKD1,85407,3,1009,0.30,BRCA,147,594,1070,13.74,55.51,cBioPortal,,
OR1D5,8386,2,1009,0.20,BRCA,68,619,1070,6.36,57.85,cBioPortal,,
AIPL1,23746,3,1009,0.30,BRCA,57,639,1070,5.33,59.72,cBioPortal,,
SNORD111,692214,,,,BRCA,107,658,1070,10.00,61.50,cBioPortal,,
FAM65A,79567,,,,BRCA,93,675,1070,8.69,63.08,cBioPortal,,
LINC01229,101928248,,,,BRCA,98,681,1070,9.16,63.64,cBioPortal,,
RP11-178L8.5,101928682,,,,BRCA,105,680,1070,9.81,63.55,cBioPortal,,
hsa-mir-548h-3,,,,,BRCA,54,630,1070,5.05,58.88,cBioPortal,,
SLC7A6OS,84138,5,1009,0.50,BRCA,104,667,1070,9.72,62.34,cBioPortal,,
KATNB1,10300,5,1009,0.50,BRCA,106,647,1070,9.91,60.47,cBioPortal,,
MLKL,197259,3,1009,0.30,BRCA,106,662,1070,9.91,61.87,cBioPortal,,
CCDC144A,9720,17,1009,1.68,BRCA,76,600,1070,7.10,56.07,cBioPortal,,
CDT1,81620,3,1009,0.30,BRCA,109,681,1070,10.19,63.64,cBioPortal,,
GFOD2,81577,5,1009,0.50,BRCA,93,675,1070,8.69,63.08,cBioPortal,,
RBL2,5934,3,1009,0.30,BRCA,147,598,1070,13.74,55.89,cBioPortal,,
ZFHX3,463,21,1009,2.08,BRCA,102,668,1070,9.53,62.43,cBioPortal,No,Yes
KLHDC4,54758,3,1009,0.30,BRCA,101,686,1070,9.44,64.11,cBioPortal,,
BEAN1,146227,,,,BRCA,98,666,1070,9.16,62.24,cBioPortal,,
SRR,63826,1,1009,0.10,BRCA,75,614,1070,7.01,57.38,cBioPortal,,
ZNF821,55565,3,1009,0.30,BRCA,103,663,1070,9.63,61.96,cBioPortal,,
SLC12A3,6559,6,1009,0.59,BRCA,120,635,1070,11.21,59.35,cBioPortal,,
HR,55806,1,1009,0.10,BRCA,146,573,1070,13.64,53.55,cBioPortal,,
GSE1,23199,9,1009,0.89,BRCA,102,683,1070,9.53,63.83,cBioPortal,,
DEFB109P1B,641517,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
ZNF319,57567,4,1009,0.40,BRCA,104,650,1070,9.72,60.75,cBioPortal,,
NCOR1,9611,50,1009,4.96,BRCA,65,620,1070,6.07,57.94,cBioPortal,No,Yes
NUDT18,79873,1,1009,0.10,BRCA,147,572,1070,13.74,53.46,cBioPortal,,
RPL13,6137,,,,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
DERL2,51009,,,,BRCA,63,628,1070,5.89,58.69,cBioPortal,,
CCDC42,146849,4,1009,0.40,BRCA,58,642,1070,5.42,60.00,cBioPortal,,
TXNDC17,84817,,,,BRCA,55,641,1070,5.14,59.91,cBioPortal,,
FOXC2,2303,,,,BRCA,103,681,1070,9.63,63.64,cBioPortal,,
CES5A,221223,6,1009,0.59,BRCA,128,624,1070,11.96,58.32,cBioPortal,,
C16orf70,80262,,,,BRCA,97,669,1070,9.07,62.52,cBioPortal,,
CCDC25,55246,1,1009,0.10,BRCA,157,559,1070,14.67,52.24,cBioPortal,,
TSNAXIP1,55815,3,1009,0.30,BRCA,96,672,1070,8.97,62.80,cBioPortal,,
DPEP1,1800,6,1009,0.59,BRCA,106,683,1070,9.91,63.83,cBioPortal,,
MT1G,4495,2,1009,0.20,BRCA,120,636,1070,11.21,59.44,cBioPortal,,
MIR6843,102465508,,,,BRCA,155,561,1070,14.49,52.43,cBioPortal,,
CHRNA2,1135,3,1009,0.30,BRCA,157,562,1070,14.67,52.52,cBioPortal,,
ALOX12B,242,3,1009,0.30,BRCA,56,645,1070,5.23,60.28,cBioPortal,Yes,Yes
PFN1,5216,,,,BRCA,71,620,1070,6.64,57.94,cBioPortal,,
OR1E2,8388,2,1009,0.20,BRCA,70,618,1070,6.54,57.76,cBioPortal,,
MIR6773,102466194,,,,BRCA,104,667,1070,9.72,62.34,cBioPortal,,
TMEM107,84314,,,,BRCA,56,645,1070,5.23,60.28,cBioPortal,,
PDLIM2,64236,1,1009,0.10,BRCA,144,577,1070,13.46,53.93,cBioPortal,,
DEFA6,1671,,,,BRCA,148,558,1070,13.83,52.15,cBioPortal,,
RASD1,51655,2,1009,0.20,BRCA,82,583,1070,7.66,54.49,cBioPortal,,
CSNK2A2,1459,3,1009,0.30,BRCA,103,654,1070,9.63,61.12,cBioPortal,,
ITGAE,3682,7,1009,0.69,BRCA,73,618,1070,6.82,57.76,cBioPortal,,
PMP22,5376,1,1009,0.10,BRCA,58,625,1070,5.42,58.41,cBioPortal,,
MT1M,4499,2,1009,0.20,BRCA,120,637,1070,11.21,59.53,cBioPortal,,
DRG2,1819,2,1009,0.20,BRCA,86,569,1070,8.04,53.18,cBioPortal,,
TANGO6,79613,6,1009,0.59,BRCA,102,664,1070,9.53,62.06,cBioPortal,,
FOXL1,2300,1,1009,0.10,BRCA,103,681,1070,9.63,63.64,cBioPortal,,
RRAD,6236,1,1009,0.10,BRCA,96,666,1070,8.97,62.24,cBioPortal,,
DEFA10P,449493,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
BIN3-IT1,80094,,,,BRCA,144,578,1070,13.46,54.02,cBioPortal,,
SLC9A5,6553,5,1009,0.50,BRCA,96,670,1070,8.97,62.62,cBioPortal,,
ZNF705B,100132396,,,,BRCA,150,561,1070,14.02,52.43,cBioPortal,,
MIR6774,102466732,,,,BRCA,102,682,1070,9.53,63.74,cBioPortal,,
C16orf78,123970,4,1009,0.40,BRCA,153,586,1070,14.30,54.77,cBioPortal,,
GNAO1-DT,283856,,,,BRCA,122,633,1070,11.40,59.16,cBioPortal,,
YBX2,51087,,,,BRCA,54,649,1070,5.05,60.65,cBioPortal,,
ADORA2B,136,1,1009,0.10,BRCA,62,624,1070,5.79,58.32,cBioPortal,,
TMEM170A,124491,1,1009,0.10,BRCA,109,666,1070,10.19,62.24,cBioPortal,,
UBB,7314,1,1009,0.10,BRCA,72,608,1070,6.73,56.82,cBioPortal,,
SIAH1,6477,3,1009,0.30,BRCA,175,563,1070,16.36,52.62,cBioPortal,,
COX10-AS1,100874058,,,,BRCA,54,627,1070,5.05,58.60,cBioPortal,,
EXTL3,2137,8,1009,0.79,BRCA,152,563,1070,14.21,52.62,cBioPortal,,
