Cancer_Type,Hugo_Symbol,Gene_Id_Entrez,Hotspot,Number_of_Mutated_Samples,Total_Number_of_Samples,Overall_Mutation_Frequency,Dataset_Name,Is_Oncogene,Is_Tumour_Suppressor_Gene,Is_WDR
HNSC,WDR72,256764,0,11,502,2.19,cBioPortal,--,--,true
LAML,WDR64,0,0,2,199,1.01,cBioPortal,--,--,true
KICH,TECPR2,9895,0,1,65,1.54,cBioPortal,--,--,true
LIHC,EED,8726,0,2,358,0.56,cBioPortal,false,true,true
LUAD,DCAF12L2,340578,0,37,561,6.6,cBioPortal,--,--,true
LUSC,SEC31A,22872,0,9,469,1.92,cBioPortal,false,false,true
LUSC,CDC20,991,0,4,469,0.85,cBioPortal,--,--,true
SKCM,IFT140,9742,0,25,440,5.68,cBioPortal,--,--,true
OV,RWDD4,201965,0,2,409,0.49,cBioPortal,--,--,true
PAAD,PPP2R2B,5521,0,1,174,0.57,cBioPortal,--,--,true
SARC,EML1,2009,0,1,234,0.43,cBioPortal,--,--,true
UCEC,WDR6,11180,0,35,515,6.8,cBioPortal,--,--,true
STAD,STRN4,29888,0,14,435,3.22,cBioPortal,--,--,true
TGCT,TBL3,10607,0,1,143,0.7,cBioPortal,--,--,true
UCS,BTRC,8945,0,1,57,1.75,cBioPortal,--,--,true
BRCA,COPB2,9276,0,9,1009,0.89,cBioPortal,--,--,true
ACC,WDR72,256764,0,2,91,2.2,cBioPortal,--,--,true
BLCA,WDR83,84292,0,5,409,1.22,cBioPortal,--,--,true
CESC,BRWD3,254065,0,17,281,6.05,cBioPortal,--,--,true
COADREAD,WDR81,124997,0,16,528,3.03,cBioPortal,--,--,true
DLBC,WDR88,126248,0,1,37,2.7,cBioPortal,--,--,true
KIRP,WDR96,0,0,4,274,1.46,cBioPortal,--,--,true
GBM,GEMIN5,25929,0,6,393,1.53,cBioPortal,--,--,true
HNSC,RFWD3,55159,0,5,502,1,cBioPortal,--,--,true
LAML,IMPACT,0,0,1,199,0.5,cBioPortal,--,--,true
KICH,WDR49,151790,0,1,65,1.54,cBioPortal,--,--,true
LIHC,NBEA,26960,0,18,358,5.03,cBioPortal,--,--,true
LUAD,PALB2,79728,0,11,561,1.96,cBioPortal,false,true,true
LUSC,HPS5,11234,0,6,469,1.28,cBioPortal,--,--,true
LUSC,RWDD2A,112611,0,1,469,0.21,cBioPortal,--,--,true
SKCM,IFT172,26160,0,27,440,6.14,cBioPortal,--,--,true
OV,WDR33,55339,0,3,409,0.73,cBioPortal,--,--,true
PAAD,DNAI2,64446,0,1,174,0.57,cBioPortal,--,--,true
SARC,EDC4,23644,0,2,234,0.85,cBioPortal,--,--,true
UCEC,VPRBP,0,0,35,515,6.8,cBioPortal,--,--,true
STAD,NLRP4,147945,0,15,435,3.45,cBioPortal,--,--,true
TGCT,DCAF12,25853,0,1,143,0.7,cBioPortal,--,--,true
UCS,PGR,5241,0,2,57,3.51,cBioPortal,true,false,false
BRCA,FBXW5,54461,0,1,1009,0.1,cBioPortal,--,--,true
ACC,STRN4,29888,0,1,91,1.1,cBioPortal,--,--,true
BLCA,DYNC1I2,1781,0,4,409,0.98,cBioPortal,--,--,true
CESC,BRCA1,672,0,14,281,4.98,cBioPortal,false,true,false
COADREAD,WDR12,55759,0,3,528,0.57,cBioPortal,--,--,true
DLBC,WDR36,134430,0,1,37,2.7,cBioPortal,--,--,true
KIRP,TBL1XR1,79718,0,3,274,1.09,cBioPortal,true,false,true
GBM,WDR62,284403,0,6,393,1.53,cBioPortal,--,--,true
HNSC,SCAP,22937,0,11,502,2.19,cBioPortal,--,--,true
LAML,LYST,0,0,1,199,0.5,cBioPortal,--,--,true
KICH,GNB1,2782,0,1,65,1.54,cBioPortal,true,false,true
LIHC,SRFBP1,153443,0,2,358,0.56,cBioPortal,--,--,true
LUAD,WDR52,0,0,15,561,2.67,cBioPortal,--,--,true
LUSC,RFWD3,55159,0,7,469,1.49,cBioPortal,--,--,true
LUSC,UTP15,84135,0,2,469,0.43,cBioPortal,--,--,true
SKCM,KIAA1432,0,0,21,440,4.77,cBioPortal,--,--,true
OV,WDR4,10785,0,2,409,0.49,cBioPortal,--,--,true
PCPG,HERC1,8925,0,2,178,1.12,cBioPortal,--,--,true
SARC,BRCA2,675,0,4,234,1.71,cBioPortal,false,true,false
UCEC,WDR19,57728,0,39,515,7.57,cBioPortal,--,--,true
STAD,WDR33,55339,0,23,435,5.29,cBioPortal,--,--,true
TGCT,NBEAL2,23218,0,1,143,0.7,cBioPortal,--,--,true
UCS,ATG16L2,89849,0,1,57,1.75,cBioPortal,--,--,true
BRCA,RWDD4,201965,0,2,1009,0.2,cBioPortal,--,--,true
ACC,HERC1,8925,0,2,91,2.2,cBioPortal,--,--,true
BLCA,WSB1,26118,0,3,409,0.73,cBioPortal,--,--,true
CESC,ERCC8,1161,0,3,281,1.07,cBioPortal,--,--,true
COADREAD,WDR49,151790,0,19,528,3.6,cBioPortal,--,--,true
DLBC,VPRBP,0,0,1,37,2.7,cBioPortal,--,--,true
KIRP,COPA,1314,0,3,274,1.09,cBioPortal,--,--,true
GBM,TBL1Y,90665,0,3,393,0.76,cBioPortal,--,--,true
HNSC,DMWD,1762,0,1,502,0.2,cBioPortal,--,--,true
LAML,LRBA,0,0,2,199,1.01,cBioPortal,--,--,true
KICH,HIRA,7290,0,1,65,1.54,cBioPortal,false,true,true
LIHC,HIRA,7290,0,4,358,1.12,cBioPortal,false,true,true
LUAD,MED16,10025,0,9,561,1.6,cBioPortal,--,--,true
LUSC,NUP43,348995,0,1,469,0.21,cBioPortal,--,--,true
LUSC,PAAF1,80227,0,4,469,0.85,cBioPortal,--,--,true
SKCM,IMPACT,55364,0,12,440,2.73,cBioPortal,--,--,true
OV,WDR43,23160,0,1,409,0.24,cBioPortal,--,--,true
PAAD,GNB1L,54584,0,1,174,0.57,cBioPortal,--,--,true
SARC,WDR46,9277,0,2,234,0.85,cBioPortal,--,--,true
UCEC,POC1A,25886,0,9,515,1.75,cBioPortal,--,--,true
STAD,DTL,51514,0,5,435,1.15,cBioPortal,--,--,true
TGCT,EML6,400954,0,1,143,0.7,cBioPortal,--,--,true
UCS,TBL2,26608,0,1,57,1.75,cBioPortal,--,--,true
BRCA,SRFBP1,153443,0,2,1009,0.2,cBioPortal,--,--,true
ACC,WDR59,79726,0,1,91,1.1,cBioPortal,--,--,true
BLCA,WDR16,0,0,7,409,1.71,cBioPortal,--,--,true
CESC,WDR49,151790,0,4,281,1.42,cBioPortal,--,--,true
COADREAD,EML1,2009,0,18,528,3.41,cBioPortal,--,--,true
DLBC,EIF3B,8662,0,1,37,2.7,cBioPortal,--,--,true
KIRP,WDR86,349136,0,1,274,0.36,cBioPortal,--,--,true
GBM,BUB3,9184,0,1,393,0.25,cBioPortal,--,--,true
HNSC,WDR54,84058,0,3,502,0.6,cBioPortal,--,--,true
LAML,WDR72,0,0,1,199,0.5,cBioPortal,--,--,true
KICH,DCAF10,79269,0,1,65,1.54,cBioPortal,--,--,true
LIHC,LRBA,987,0,4,358,1.12,cBioPortal,--,--,true
LUAD,HIRA,7290,0,10,561,1.78,cBioPortal,false,true,true
LUSC,AMBRA1,55626,0,8,469,1.71,cBioPortal,--,--,true
LUSC,LRWD1,222229,0,2,469,0.43,cBioPortal,--,--,true
SKCM,KATNB1,10300,0,10,440,2.27,cBioPortal,--,--,true
OV,EIF3I,8668,0,1,409,0.24,cBioPortal,--,--,true
PAAD,GNB2,2783,0,1,174,0.57,cBioPortal,--,--,true
SARC,DNAI2,64446,0,2,234,0.85,cBioPortal,--,--,true
UCEC,LRBA,987,0,69,515,13.4,cBioPortal,--,--,true
STAD,KCTD3,51133,0,15,435,3.45,cBioPortal,--,--,true
TGCT,WDR87,83889,0,1,143,0.7,cBioPortal,--,--,true
UCS,GNB1,2782,0,1,57,1.75,cBioPortal,true,false,true
BRCA,LRWD1,222229,0,3,1009,0.3,cBioPortal,--,--,true
ACC,RPTOR,57521,0,1,91,1.1,cBioPortal,true,false,true
BLCA,NOL10,79954,0,4,409,0.98,cBioPortal,--,--,true
CESC,PPP2R2D,55844,0,3,281,1.07,cBioPortal,--,--,true
COADREAD,WDR63,0,0,19,528,3.6,cBioPortal,--,--,true
DLBC,WDTC1,23038,0,1,37,2.7,cBioPortal,--,--,true
KIRP,SEC13,6396,0,2,274,0.73,cBioPortal,--,--,true
GBM,SEH1L,81929,0,2,393,0.51,cBioPortal,--,--,true
HNSC,STXBP5L,9515,0,12,502,2.39,cBioPortal,--,--,true
LAML,DCAF8,0,0,1,199,0.5,cBioPortal,--,--,true
KICH,GTF3C2,2976,0,1,65,1.54,cBioPortal,--,--,true
LIHC,CDH1,999,0,6,358,1.68,cBioPortal,false,true,true
LUAD,WDR35,57539,0,10,561,1.78,cBioPortal,--,--,true
LUSC,WDR93,56964,0,6,469,1.28,cBioPortal,--,--,true
LUSC,GNB1,2782,0,2,469,0.43,cBioPortal,true,false,true
SKCM,KCTD3,51133,0,15,440,3.41,cBioPortal,--,--,true
OV,FZR1,51343,0,2,409,0.49,cBioPortal,true,true,true
PCPG,CORO7,79585,0,1,178,0.56,cBioPortal,--,--,true
SARC,PIK3R4,30849,0,1,234,0.43,cBioPortal,--,--,true
UCEC,KIAA1239,0,0,39,515,7.57,cBioPortal,--,--,true
STAD,WDR63,0,0,12,435,2.76,cBioPortal,--,--,true
TGCT,TECPR2,9895,0,1,143,0.7,cBioPortal,--,--,true
UCS,DDB1,1642,0,1,57,1.75,cBioPortal,--,--,true
BRCA,WDR24,84219,0,3,1009,0.3,cBioPortal,--,--,true
ACC,RBBP7,5931,0,1,91,1.1,cBioPortal,--,--,true
BLCA,DCAF13,25879,0,7,409,1.71,cBioPortal,--,--,true
ESCA,APAF1,317,0,3,182,1.65,cBioPortal,--,--,true
CESC,WDFY3,23001,0,10,281,3.56,cBioPortal,--,--,true
COADREAD,CDRT1,374286,0,16,528,3.03,cBioPortal,--,--,true
KIRP,EGFR,1956,0,1,274,0.36,cBioPortal,true,false,false
GBM,HERC1,8925,0,7,393,1.78,cBioPortal,--,--,true
HNSC,DCAF4L2,138009,0,12,502,2.39,cBioPortal,--,--,true
LAML,BRCA2,0,0,2,199,1.01,cBioPortal,false,true,false
KIRC,DCAF13,25879,0,4,356,1.12,cBioPortal,--,--,true
LIHC,DCAF4L2,138009,0,4,358,1.12,cBioPortal,--,--,true
LUAD,PGR,5241,0,18,561,3.21,cBioPortal,true,false,false
LUSC,NBEAL1,65065,0,15,469,3.2,cBioPortal,--,--,true
LUSC,AAMP,14,0,1,469,0.21,cBioPortal,--,--,true
SKCM,LRWD1,222229,0,14,440,3.18,cBioPortal,--,--,true
OV,WDR76,79968,0,2,409,0.49,cBioPortal,--,--,true
PCPG,BRCA2,675,0,1,178,0.56,cBioPortal,false,true,false
SARC,WDR87,83889,0,8,234,3.42,cBioPortal,--,--,true
UCEC,GEMIN5,25929,0,38,515,7.38,cBioPortal,--,--,true
STAD,STRN,6801,0,14,435,3.22,cBioPortal,false,false,true
TGCT,WDFY1,57590,0,1,143,0.7,cBioPortal,--,--,true
UCS,WDR89,112840,0,1,57,1.75,cBioPortal,--,--,true
BRCA,PLAA,9373,0,3,1009,0.3,cBioPortal,--,--,true
ACC,ERCC8,1161,0,1,91,1.1,cBioPortal,--,--,true
BLCA,EML4,27436,0,8,409,1.96,cBioPortal,false,false,true
ESCA,AAMP,14,0,1,182,0.55,cBioPortal,--,--,true
CESC,DNAI2,64446,0,7,281,2.49,cBioPortal,--,--,true
COADREAD,PPP2R2B,5521,0,14,528,2.65,cBioPortal,--,--,true
KIRP,TLE3,7090,0,2,274,0.73,cBioPortal,false,false,true
GBM,GRWD1,83743,0,1,393,0.25,cBioPortal,--,--,true
HNSC,WDR17,116966,0,18,502,3.59,cBioPortal,--,--,true
LAML,WDR27,0,0,1,199,0.5,cBioPortal,--,--,true
KICH,DYNC1I1,1780,0,1,65,1.54,cBioPortal,--,--,true
LIHC,TLE1,7088,0,5,358,1.4,cBioPortal,false,false,true
LUAD,PHIP,55023,0,14,561,2.5,cBioPortal,--,--,true
LUSC,WDR46,9277,0,4,469,0.85,cBioPortal,--,--,true
LUSC,EIF2S1,1965,0,1,469,0.21,cBioPortal,--,--,true
SKCM,KIF21A,55605,0,28,440,6.36,cBioPortal,--,--,true
OV,CORO2A,7464,0,1,409,0.24,cBioPortal,--,--,true
PCPG,WDR52,0,0,1,178,0.56,cBioPortal,--,--,true
SARC,WDR49,151790,0,3,234,1.28,cBioPortal,--,--,true
UCEC,DCAF4L1,285429,0,36,515,6.99,cBioPortal,--,--,true
STAD,WDR35,57539,0,14,435,3.22,cBioPortal,--,--,true
TGCT,IFT140,9742,0,2,143,1.4,cBioPortal,--,--,true
UCS,WSB2,55884,0,1,57,1.75,cBioPortal,--,--,true
BRCA,SMU1,55234,0,2,1009,0.2,cBioPortal,--,--,true
ACC,SMU1,55234,0,1,91,1.1,cBioPortal,--,--,true
BLCA,SEC13,6396,0,2,409,0.49,cBioPortal,--,--,true
ESCA,AHI1,54806,0,1,182,0.55,cBioPortal,--,--,true
CESC,WDR83,84292,0,1,281,0.36,cBioPortal,--,--,true
COADREAD,DDB1,1642,0,11,528,2.08,cBioPortal,--,--,true
KIRP,CORO7,79585,0,1,274,0.36,cBioPortal,--,--,true
GBM,MLST8,64223,0,4,393,1.02,cBioPortal,--,--,true
HNSC,DCAF8L1,139425,0,6,502,1.2,cBioPortal,--,--,true
LAML,DCAF11,0,0,1,199,0.5,cBioPortal,--,--,true
KIRC,BRCA2,675,0,8,356,2.25,cBioPortal,false,true,false
LIHC,FBXW7,55294,0,3,358,0.84,cBioPortal,false,true,true
LUAD,DCAF8L2,347442,0,18,561,3.21,cBioPortal,--,--,true
LUSC,SEC31B,25956,0,9,469,1.92,cBioPortal,--,--,true
LUSC,WDR37,22884,0,1,469,0.21,cBioPortal,--,--,true
SKCM,KIF21B,23046,0,54,440,12.27,cBioPortal,--,--,true
OV,POC1B,282809,0,1,409,0.24,cBioPortal,--,--,true
PCPG,EIF3B,8662,0,1,178,0.56,cBioPortal,--,--,true
SARC,WDR81,124997,0,3,234,1.28,cBioPortal,--,--,true
UCEC,PPP2R2C,5522,0,19,515,3.69,cBioPortal,--,--,true
STAD,ATG16L1,55054,0,4,435,0.92,cBioPortal,--,--,true
TGCT,PPWD1,23398,0,1,143,0.7,cBioPortal,--,--,true
UCS,EML1,2009,0,1,57,1.75,cBioPortal,--,--,true
BRCA,WDR26,80232,0,4,1009,0.4,cBioPortal,--,--,true
ACC,TBC1D31,93594,0,1,91,1.1,cBioPortal,--,--,true
BLCA,WDR53,348793,0,2,409,0.49,cBioPortal,--,--,true
ESCA,AMBRA1,55626,0,3,182,1.65,cBioPortal,--,--,true
CESC,RRP9,9136,0,2,281,0.71,cBioPortal,--,--,true
COADREAD,CDH1,999,0,19,528,3.6,cBioPortal,false,true,true
KIRP,ATG16L1,55054,0,1,274,0.36,cBioPortal,--,--,true
GBM,WDR72,256764,0,5,393,1.27,cBioPortal,--,--,true
HNSC,RAE1,8480,0,2,502,0.4,cBioPortal,--,--,true
LAML,POC1A,0,0,1,199,0.5,cBioPortal,--,--,true
KIRC,WDHD1,11169,0,1,356,0.28,cBioPortal,--,--,true
LIHC,DDB1,1642,0,3,358,0.84,cBioPortal,--,--,true
LUAD,EML2,24139,0,7,561,1.25,cBioPortal,--,--,true
LUSC,ERBB2,2064,0,10,469,2.13,cBioPortal,true,false,false
LUSC,RNASE7,84659,0,1,469,0.21,cBioPortal,--,--,true
SKCM,LRBA,987,0,62,440,14.09,cBioPortal,--,--,true
OV,DMWD,1762,0,1,409,0.24,cBioPortal,--,--,true
PCPG,VPRBP,0,0,1,178,0.56,cBioPortal,--,--,true
SARC,TLE2,7089,0,1,234,0.43,cBioPortal,false,false,true
UCEC,DMXL1,1657,0,71,515,13.79,cBioPortal,--,--,true
STAD,PREB,10113,0,5,435,1.15,cBioPortal,--,--,true
TGCT,WDR88,126248,0,1,143,0.7,cBioPortal,--,--,true
UCS,TEP1,7011,0,1,57,1.75,cBioPortal,--,--,true
BRCA,WDR89,112840,0,2,1009,0.2,cBioPortal,--,--,true
ACC,EML1,2009,0,1,91,1.1,cBioPortal,--,--,true
BLCA,FBXW8,26259,0,6,409,1.47,cBioPortal,--,--,true
ESCA,BRWD3,254065,0,3,182,1.65,cBioPortal,--,--,true
CESC,FBXW9,84261,0,1,281,0.36,cBioPortal,--,--,true
COADREAD,STRN,6801,0,9,528,1.7,cBioPortal,false,false,true
KIRP,NBEAL1,65065,0,5,274,1.82,cBioPortal,--,--,true
GBM,SHKBP1,92799,0,4,393,1.02,cBioPortal,--,--,true
HNSC,RBBP7,5931,0,6,502,1.2,cBioPortal,--,--,true
LAML,RBBP4,0,0,2,199,1.01,cBioPortal,--,--,true
KIRC,POC1B,282809,0,3,356,0.84,cBioPortal,--,--,true
LIHC,WDR45,11152,0,3,358,0.84,cBioPortal,--,--,true
LUAD,DCAF11,80344,0,5,561,0.89,cBioPortal,--,--,true
LUSC,EED,8726,0,5,469,1.07,cBioPortal,false,true,true
LUSC,WDR77,79084,0,1,469,0.21,cBioPortal,--,--,true
SKCM,MIOS,54468,0,10,440,2.27,cBioPortal,--,--,true
OV,RWDD3,25950,0,1,409,0.24,cBioPortal,--,--,true
PCPG,NBEAL2,23218,0,1,178,0.56,cBioPortal,--,--,true
SARC,PEX7,5191,0,2,234,0.85,cBioPortal,--,--,true
UCEC,STXBP5,134957,0,37,515,7.18,cBioPortal,--,--,true
STAD,LRBA,987,0,27,435,6.21,cBioPortal,--,--,true
TGCT,EGFR,1956,0,1,143,0.7,cBioPortal,true,false,false
UCS,ZNF106,64397,0,1,57,1.75,cBioPortal,--,--,true
BRCA,MED16,10025,0,5,1009,0.5,cBioPortal,--,--,true
ACC,WDR6,11180,0,1,91,1.1,cBioPortal,--,--,true
BLCA,FBXW2,26190,0,4,409,0.98,cBioPortal,false,false,true
ESCA,BRCA1,672,0,2,182,1.1,cBioPortal,false,true,false
CESC,WDR55,54853,0,2,281,0.71,cBioPortal,--,--,true
COADREAD,FBXW10,10517,0,18,528,3.41,cBioPortal,--,--,true
KIRP,WDR91,29062,0,2,274,0.73,cBioPortal,--,--,true
GBM,NLRP4,147945,0,10,393,2.54,cBioPortal,--,--,true
HNSC,MPP7,143098,0,4,502,0.8,cBioPortal,--,--,true
LAML,STRN,0,0,2,199,1.01,cBioPortal,false,false,true
KIRC,KIF21B,23046,0,5,356,1.4,cBioPortal,--,--,true
LIHC,DCAF12L2,340578,0,4,358,1.12,cBioPortal,--,--,true
LUAD,FBXW8,26259,0,5,561,0.89,cBioPortal,--,--,true
LUSC,STRN,6801,0,8,469,1.71,cBioPortal,false,false,true
LUSC,WDR18,57418,0,1,469,0.21,cBioPortal,--,--,true
SKCM,LYST,1130,0,53,440,12.05,cBioPortal,--,--,true
OV,STRN3,29966,0,2,409,0.49,cBioPortal,--,--,true
PCPG,DCAF11,80344,0,1,178,0.56,cBioPortal,--,--,true
SARC,RFWD2,0,0,1,234,0.43,cBioPortal,--,--,true
UCEC,WDR70,55100,0,33,515,6.41,cBioPortal,--,--,true
STAD,WDR52,0,0,11,435,2.53,cBioPortal,--,--,true
TGCT,DCAF8L2,347442,0,1,143,0.7,cBioPortal,--,--,true
UCS,EIF2S1,1965,0,1,57,1.75,cBioPortal,--,--,true
BRCA,PRPF19,27339,0,2,1009,0.2,cBioPortal,--,--,true
ACC,ZNF474,133923,0,2,91,2.2,cBioPortal,--,--,true
BLCA,EIF2A,83939,0,4,409,0.98,cBioPortal,--,--,true
ESCA,BRCA2,675,0,7,182,3.85,cBioPortal,false,true,false
CESC,FBXW8,26259,0,2,281,0.71,cBioPortal,--,--,true
COADREAD,FZR1,51343,0,6,528,1.14,cBioPortal,true,true,true
KIRP,NLE1,54475,0,3,274,1.09,cBioPortal,--,--,true
GBM,WDR63,0,0,8,393,2.04,cBioPortal,--,--,true
HNSC,HERC1,8925,0,25,502,4.98,cBioPortal,--,--,true
LAML,TLE6,0,0,1,199,0.5,cBioPortal,--,--,true
KIRC,WDR36,134430,0,2,356,0.56,cBioPortal,--,--,true
LIHC,WDR78,0,0,3,358,0.84,cBioPortal,--,--,true
LUAD,WDR25,79446,0,4,561,0.71,cBioPortal,--,--,true
LUSC,SEC13,6396,0,2,469,0.43,cBioPortal,--,--,true
LUSC,DCAF11,80344,0,3,469,0.64,cBioPortal,--,--,true
SKCM,MAPKBP1,23005,0,36,440,8.18,cBioPortal,--,--,true
OV,TBC1D31,93594,0,1,409,0.24,cBioPortal,--,--,true
PCPG,WDR33,55339,0,1,178,0.56,cBioPortal,--,--,true
SARC,ZNF106,64397,0,2,234,0.85,cBioPortal,--,--,true
UCEC,CDC20B,166979,0,29,515,5.63,cBioPortal,--,--,true
STAD,IFT122,55764,0,20,435,4.6,cBioPortal,--,--,true
TGCT,WDR62,284403,0,1,143,0.7,cBioPortal,--,--,true
UCS,DCAF5,8816,0,1,57,1.75,cBioPortal,--,--,true
BRCA,PPP2R2A,5520,0,2,1009,0.2,cBioPortal,false,true,true
ACC,DDB2,1643,0,1,91,1.1,cBioPortal,false,true,true
BLCA,ESR1,2099,0,5,409,1.22,cBioPortal,true,false,false
ESCA,BRWD1,54014,0,2,182,1.1,cBioPortal,--,--,true
CESC,STXBP5L,9515,0,4,281,1.42,cBioPortal,--,--,true
COADREAD,NLRP4,147945,0,24,528,4.55,cBioPortal,--,--,true
KIRP,PREB,10113,0,1,274,0.36,cBioPortal,--,--,true
GBM,TNFSF13B,10673,0,3,393,0.76,cBioPortal,--,--,true
HNSC,TAF5L,27097,0,4,502,0.8,cBioPortal,--,--,true
LAML,ARPC1A,0,0,1,199,0.5,cBioPortal,--,--,true
KIRC,TAF5,6877,0,3,356,0.84,cBioPortal,--,--,true
LIHC,PWP2,5822,0,2,358,0.56,cBioPortal,--,--,true
LUAD,TECPR2,9895,0,16,561,2.85,cBioPortal,--,--,true
LUSC,GEMIN5,25929,0,12,469,2.56,cBioPortal,--,--,true
LUSC,FBXW4,6468,0,2,469,0.43,cBioPortal,--,--,true
SKCM,MED16,10025,0,24,440,5.45,cBioPortal,--,--,true
OV,WDR73,84942,0,1,409,0.24,cBioPortal,--,--,true
PCPG,WDR63,0,0,1,178,0.56,cBioPortal,--,--,true
SARC,CIAO1,9391,0,1,234,0.43,cBioPortal,--,--,true
UCEC,UTP15,84135,0,17,515,3.3,cBioPortal,--,--,true
STAD,COPB2,9276,0,11,435,2.53,cBioPortal,--,--,true
TGCT,WDR81,124997,0,1,143,0.7,cBioPortal,--,--,true
UCS,EML5,161436,0,1,57,1.75,cBioPortal,--,--,true
BRCA,RNASE7,84659,0,2,1009,0.2,cBioPortal,--,--,true
ACC,DDB1,1642,0,1,91,1.1,cBioPortal,--,--,true
BLCA,GNB2L1,0,0,3,409,0.73,cBioPortal,--,--,true
ESCA,CDC40,51362,0,2,182,1.1,cBioPortal,--,--,true
CESC,CDC20,991,0,1,281,0.36,cBioPortal,--,--,true
COADREAD,PPP2R2C,5522,0,17,528,3.22,cBioPortal,--,--,true
KIRP,EML6,400954,0,1,274,0.36,cBioPortal,--,--,true
GBM,WDR78,0,0,5,393,1.27,cBioPortal,--,--,true
HNSC,PAK1IP1,55003,0,3,502,0.6,cBioPortal,--,--,true
KIRC,TBL1XR1,79718,0,3,356,0.84,cBioPortal,true,false,true
LGG,CDRT1,374286,0,3,509,0.59,cBioPortal,--,--,true
LIHC,RNASE7,84659,0,1,358,0.28,cBioPortal,--,--,true
LUAD,KATNB1,10300,0,5,561,0.89,cBioPortal,--,--,true
LUSC,DCAF4L2,138009,0,39,469,8.32,cBioPortal,--,--,true
LUSC,UTP18,51096,0,2,469,0.43,cBioPortal,--,--,true
SKCM,NBEAL1,65065,0,25,440,5.68,cBioPortal,--,--,true
OV,RFWD3,55159,0,2,409,0.49,cBioPortal,--,--,true
PCPG,KCTD3,51133,0,1,178,0.56,cBioPortal,--,--,true
SARC,WRAP53,55135,0,4,234,1.71,cBioPortal,--,--,true
UCEC,PHIP,55023,0,53,515,10.29,cBioPortal,--,--,true
STAD,WDFY3,23001,0,42,435,9.66,cBioPortal,--,--,true
TGCT,WDR34,0,0,1,143,0.7,cBioPortal,--,--,true
UCS,IMPACT,55364,0,1,57,1.75,cBioPortal,--,--,true
BRCA,PGR,5241,0,7,1009,0.69,cBioPortal,true,false,false
ACC,CDH1,999,0,1,91,1.1,cBioPortal,false,true,true
BLCA,ZNF106,64397,0,14,409,3.42,cBioPortal,--,--,true
ESCA,BTRC,8945,0,3,182,1.65,cBioPortal,--,--,true
CESC,PHIP,55023,0,5,281,1.78,cBioPortal,--,--,true
COADREAD,IFT122,55764,0,18,528,3.41,cBioPortal,--,--,true
KIRP,PALB2,79728,0,5,274,1.82,cBioPortal,false,true,true
GBM,FBXW2,26190,0,1,393,0.25,cBioPortal,false,false,true
HNSC,KIF21B,23046,0,18,502,3.59,cBioPortal,--,--,true
LAML,STRN3,0,0,1,199,0.5,cBioPortal,--,--,true
KIRC,SH2D2A,9047,0,1,356,0.28,cBioPortal,--,--,true
LIHC,ZNF106,64397,0,3,358,0.84,cBioPortal,--,--,true
LUAD,HERC1,8925,0,30,561,5.35,cBioPortal,--,--,true
LUSC,KIF21B,23046,0,23,469,4.9,cBioPortal,--,--,true
LUSC,RBBP7,5931,0,1,469,0.21,cBioPortal,--,--,true
SKCM,MLST8,64223,0,4,440,0.91,cBioPortal,--,--,true
OV,GNB2L1,0,0,2,409,0.49,cBioPortal,--,--,true
PCPG,ZNF106,64397,0,1,178,0.56,cBioPortal,--,--,true
SARC,LRBA,987,0,5,234,2.14,cBioPortal,--,--,true
UCEC,NUP43,348995,0,12,515,2.33,cBioPortal,--,--,true
STAD,RWDD4,201965,0,5,435,1.15,cBioPortal,--,--,true
TGCT,WDR78,0,0,1,143,0.7,cBioPortal,--,--,true
UCS,CDRT1,374286,0,1,57,1.75,cBioPortal,--,--,true
BRCA,EED,8726,0,4,1009,0.4,cBioPortal,false,true,true
ACC,DCAF12L1,139170,0,1,91,1.1,cBioPortal,--,--,true
BLCA,CORO2A,7464,0,3,409,0.73,cBioPortal,--,--,true
ESCA,C18orf8,0,0,1,182,0.55,cBioPortal,--,--,true
CESC,STRAP,11171,0,4,281,1.42,cBioPortal,--,--,true
COADREAD,SCAP,22937,0,13,528,2.46,cBioPortal,--,--,true
KIRP,WDR3,10885,0,2,274,0.73,cBioPortal,--,--,true
GBM,WDFY2,115825,0,2,393,0.51,cBioPortal,--,--,true
HNSC,TNFSF13B,10673,0,3,502,0.6,cBioPortal,--,--,true
LAML,PLAA,0,0,1,199,0.5,cBioPortal,--,--,true
KIRC,ZNF474,133923,0,1,356,0.28,cBioPortal,--,--,true
LIHC,DDB2,1643,0,3,358,0.84,cBioPortal,false,true,true
LUAD,IFT140,9742,0,8,561,1.43,cBioPortal,--,--,true
LUSC,LYST,1130,0,36,469,7.68,cBioPortal,--,--,true
LUSC,PPP2R2D,55844,0,2,469,0.43,cBioPortal,--,--,true
SKCM,MPP7,143098,0,50,440,11.36,cBioPortal,--,--,true
OV,EML1,2009,0,3,409,0.73,cBioPortal,--,--,true
PCPG,DNAI2,64446,0,1,178,0.56,cBioPortal,--,--,true
SARC,NSMAF,8439,0,1,234,0.43,cBioPortal,--,--,true
UCEC,ESR1,2099,0,28,515,5.44,cBioPortal,true,false,false
STAD,DCAF4L1,285429,0,10,435,2.3,cBioPortal,--,--,true
TGCT,ERBB2,2064,0,1,143,0.7,cBioPortal,true,false,false
UCS,WSB1,26118,0,1,57,1.75,cBioPortal,--,--,true
BRCA,WDR20,91833,0,3,1009,0.3,cBioPortal,--,--,true
