hugo_symbol_a,hugo_symbol_b,neighborhood,neighborhood_transferred,fusion,cooccurence,homology,coexpression,coexpression_transferred,experiments,experiments_transferred,database,database_transferred,textmining,textmining_transferred,combined_score,dataset_name,is_oncogene_a,is_tumor_suppressor_gene_a,is_oncogene_b,is_tumor_suppressor_gene_b
HIBCH,RPL9,0,0,0,0,0,49,0,0,312,0,0,91,0,353,STRING_v12,,,,
ORAI1,TRPV1,0,0,0,0,0,0,0,0,0,0,0,447,77,467,STRING_v12,,,,
MYADML2,PYCR1,0,0,181,0,0,0,0,0,0,0,0,164,0,286,STRING_v12,,,,
CORO1A,LAMP1,0,0,0,0,0,42,46,0,0,0,0,285,0,289,STRING_v12,,,,
MAPK3,EOMES,0,0,0,0,0,0,62,0,67,0,0,247,0,283,STRING_v12,Yes,No,,
BCAP31,LAMP1,0,0,0,0,0,133,55,292,0,0,0,151,0,441,STRING_v12,,,,
MMP2,CXCL5,0,0,0,0,0,0,58,0,0,0,0,373,66,400,STRING_v12,,,,
CCNQ,OR2T27,0,0,0,0,0,0,0,0,0,0,0,447,0,447,STRING_v12,No,Yes,,
MAPK8IP3,TYK2,0,0,0,0,0,74,55,0,52,0,0,0,302,343,STRING_v12,,,Yes,No
KDM2A,CHD8,0,0,0,0,0,124,249,0,125,0,0,125,102,465,STRING_v12,,,,
USP39,USP35,0,0,0,0,0,0,55,0,0,0,0,359,278,524,STRING_v12,,,,
CNTF,TYK2,0,0,0,0,0,0,0,0,0,500,0,371,45,673,STRING_v12,,,Yes,No
TES,IAH1,0,0,0,0,0,60,0,0,0,0,0,85,348,390,STRING_v12,,,,
POLE4,POLN,0,0,0,0,0,0,0,0,0,0,0,271,102,317,STRING_v12,,,,
DEPDC7,CARD14,0,0,0,0,0,0,0,0,0,0,0,621,67,631,STRING_v12,,,,
TPRA1,TRPV1,0,0,0,0,0,0,0,0,0,0,0,445,53,451,STRING_v12,,,,
XCL1,CXCL5,0,0,0,0,0,0,0,0,0,0,0,471,64,483,STRING_v12,,,,
POLE2,PPIAL4C,0,0,0,0,0,0,0,0,304,0,0,0,0,304,STRING_v12,,,,
TCP1,SECISBP2L,0,0,0,0,0,0,321,0,51,0,0,0,84,358,STRING_v12,,,,
PXDNL,CMA1,0,0,0,0,0,0,0,0,44,0,0,287,86,322,STRING_v12,,,,
DPH3,NRBF2,0,0,0,0,0,300,0,0,0,0,0,0,0,300,STRING_v12,,,,
GRIN2A,FXR2,0,0,0,0,0,0,0,0,0,0,0,358,65,374,STRING_v12,No,Yes,,
WDR73,SETDB2,0,0,0,0,0,49,60,0,190,0,0,0,101,261,STRING_v12,,,No,Yes
PANX1,TRPV1,0,0,0,0,0,0,0,0,0,0,0,393,56,402,STRING_v12,,,,
METTL16,FXR2,0,0,0,0,0,95,63,0,0,0,0,220,0,280,STRING_v12,,,,
KLK6,NFASC,0,0,0,0,0,74,0,0,82,0,0,82,277,360,STRING_v12,,,,
RPL5,NFXL1,0,0,0,0,0,0,0,0,479,0,0,0,49,483,STRING_v12,No,Yes,,
BDNF,CXCL5,0,0,0,0,0,0,0,0,0,0,0,278,0,278,STRING_v12,,,,
NOC3L,RPL9,0,0,0,0,0,86,0,0,842,0,0,0,62,852,STRING_v12,,,,
ZNF687,CHD8,0,0,0,0,0,98,55,0,102,0,0,108,104,276,STRING_v12,,,,
GALT,NRBF2,0,0,0,0,0,0,0,431,0,0,0,0,0,431,STRING_v12,,,,
PRPF8,RPL9,0,0,0,0,0,67,0,209,0,0,0,69,57,265,STRING_v12,No,Yes,,
IRF5,TYK2,0,0,0,0,0,62,98,0,94,0,0,807,56,834,STRING_v12,,,Yes,No
UBQLN2,RPL9,0,0,0,0,0,55,151,0,313,0,0,0,67,416,STRING_v12,,,,
ADAMTS4,PYCR1,0,0,0,0,0,0,0,0,0,0,0,515,0,515,STRING_v12,,,,
CTNNB1,CXCL5,0,0,0,0,0,0,0,0,0,0,0,325,0,325,STRING_v12,Yes,No,,
ULBP1,LAMP1,0,0,0,0,0,0,117,0,0,0,0,476,64,529,STRING_v12,,,,
PRDX6,SECISBP2L,0,48,0,0,0,0,110,0,174,0,0,0,114,296,STRING_v12,,,,
RPLP0,PPIAL4C,0,0,0,0,0,0,185,0,71,0,0,0,102,260,STRING_v12,,,,
DPP8,SCAMP1,0,0,0,0,0,242,0,0,0,0,0,87,0,278,STRING_v12,,,,
WRN,POLN,0,45,0,0,0,0,96,0,0,0,0,248,271,463,STRING_v12,No,Yes,,
DNM2,LAMP1,0,0,0,0,0,92,57,0,0,0,0,397,112,480,STRING_v12,Yes,No,,
NUP107,IPO11,0,0,0,0,0,56,0,0,0,0,0,184,165,300,STRING_v12,,,,
TEX10,RPL9,0,0,0,0,0,67,0,0,442,500,0,0,45,718,STRING_v12,,,,
BECN2,NRBF2,0,0,0,0,0,0,74,0,51,900,0,121,282,934,STRING_v12,,,,
LILRB1,EOMES,0,0,0,0,0,83,0,0,45,0,0,297,0,330,STRING_v12,,,,
ZNF653,USP35,0,0,0,0,0,310,0,0,53,0,0,0,53,327,STRING_v12,,,,
DNAJB13,RPL9,0,0,0,0,0,0,63,0,261,0,0,0,53,286,STRING_v12,,,,
SMURF1,LAMP1,0,0,0,0,0,0,0,0,0,0,0,119,197,262,STRING_v12,,,,
PRX,NFASC,0,0,0,0,0,0,0,0,51,0,0,265,103,319,STRING_v12,,,,
EIF5A2,RPL9,0,0,0,0,0,0,634,0,752,0,0,105,185,924,STRING_v12,,,,
PAF1,FXR2,0,0,0,0,0,60,0,274,0,0,0,0,0,288,STRING_v12,,,,
WDR76,CHD8,0,0,0,0,0,0,93,292,91,0,0,0,81,391,STRING_v12,,,,
JAG2,DTX1,0,0,0,0,0,42,0,0,133,0,0,473,52,529,STRING_v12,,,No,Yes
RPL13A,DTX1,0,0,0,0,0,0,63,0,126,0,0,137,80,262,STRING_v12,,,No,Yes
ITK,EOMES,0,0,0,0,0,253,59,0,0,0,0,445,57,582,STRING_v12,No,No,,
PLEKHA5,OR2T27,0,0,0,0,0,0,0,0,0,0,0,366,0,366,STRING_v12,,,,
CD38,LAMP1,0,0,0,0,0,42,0,0,0,0,0,511,47,514,STRING_v12,,,,
ATF3,TRPV1,0,0,0,0,0,0,0,0,0,0,0,432,166,506,STRING_v12,,,,
BST2,TYK2,0,0,0,0,0,58,98,0,0,0,0,298,0,351,STRING_v12,,,Yes,No
TRAK2,GLRA3,0,0,0,0,0,0,0,0,0,0,0,332,137,398,STRING_v12,,,,
TNFRSF1B,CXCL5,0,0,0,0,0,43,60,0,0,0,0,315,0,329,STRING_v12,,,,
ADGRL4,ATP13A5,0,0,0,0,0,0,0,0,0,0,0,270,101,315,STRING_v12,,,,
RSAD1,RPL9,0,102,0,0,0,49,659,0,746,0,0,0,240,933,STRING_v12,,,,
ARRB2,CHD8,0,0,0,0,0,0,0,0,0,0,0,0,352,351,STRING_v12,,,,
NAA16,RPL9,0,0,0,0,0,0,55,0,319,0,0,0,0,328,STRING_v12,,,,
ACE2,LAMP1,0,0,0,0,0,0,0,0,0,0,0,289,93,327,STRING_v12,,,,
TPM3,TRPV1,0,0,0,0,0,0,0,0,0,0,0,396,51,402,STRING_v12,No,No,,
HECW1,LAMP1,0,0,0,0,0,0,0,0,0,0,0,0,274,274,STRING_v12,,,,
TUBB3,EOMES,0,0,0,0,0,0,67,0,46,0,0,325,102,388,STRING_v12,,,,
DSG4,SETDB2,0,0,0,0,0,0,58,203,125,0,0,0,51,293,STRING_v12,,,No,Yes
TYROBP,LAMP1,0,0,0,0,0,67,101,0,0,0,0,348,0,405,STRING_v12,,,,
POLD1,CHD8,0,48,0,0,0,108,85,0,106,0,0,75,101,287,STRING_v12,No,Yes,,
DSG2,LAMP1,0,0,0,0,0,42,55,188,0,0,0,108,45,259,STRING_v12,,,,
RPL26L1,NFXL1,0,0,0,0,0,0,0,0,313,0,0,0,0,313,STRING_v12,,,,
LHX6,EOMES,0,0,0,0,0,0,86,0,71,0,0,356,68,422,STRING_v12,,,,
CCN2,MFAP5,0,0,0,0,0,107,103,0,0,0,0,230,0,329,STRING_v12,,,,
ECM2,MFAP5,0,0,0,0,0,253,94,0,0,0,0,187,72,421,STRING_v12,,,,
ITGB7,EOMES,0,0,0,0,0,72,0,0,0,0,0,247,47,275,STRING_v12,,,,
PRDX2,SECISBP2L,0,48,0,0,0,0,110,0,174,0,0,0,102,287,STRING_v12,,,,
AHSA1,RPL9,0,0,0,0,0,83,0,292,0,0,0,0,0,323,STRING_v12,,,,
RPL8,PRAMEF6,0,56,0,0,0,0,361,0,303,0,0,0,120,580,STRING_v12,,,,
KIFC3,FXR2,0,0,0,0,0,60,0,0,0,0,0,417,0,428,STRING_v12,,,,
GLYAT,C3orf33,0,0,0,0,0,0,0,0,44,0,0,290,132,359,STRING_v12,,,,
LIF,CXCL5,0,0,0,0,0,68,104,0,0,0,0,301,53,373,STRING_v12,,,,
INSYN2A,SECISBP2L,0,0,0,0,0,0,0,372,0,0,0,0,52,379,STRING_v12,,,,
PRDX5,SECISBP2L,0,0,0,0,0,0,67,0,227,0,0,0,155,337,STRING_v12,,,,
AGTR2,CMA1,0,0,0,0,0,47,0,0,52,0,0,412,120,469,STRING_v12,,,,
OPN4,EOMES,0,0,0,0,0,0,0,0,0,0,0,265,44,267,STRING_v12,,,,
LNPEP,CMA1,0,0,0,0,0,0,0,0,45,0,0,248,62,267,STRING_v12,,,,
FURIN,LAMP1,0,0,0,0,0,74,0,0,0,0,0,322,57,356,STRING_v12,Yes,No,,
ACKR2,EOMES,0,0,0,0,0,42,0,0,0,0,0,348,44,350,STRING_v12,,,,
SOX15,FXR2,0,0,130,0,0,43,0,0,0,0,0,84,165,278,STRING_v12,,,,
JAK3,TYK2,0,0,0,66,866,72,55,292,0,0,0,864,0,906,STRING_v12,Yes,No,Yes,No
MMP13,CXCL5,0,0,0,0,0,44,85,0,0,0,0,327,48,364,STRING_v12,,,,
TSFM,PYCR1,0,42,0,0,0,55,0,88,0,0,0,193,130,314,STRING_v12,,,,
CDK14,TYK2,0,0,0,0,581,0,244,0,98,0,0,0,57,300,STRING_v12,,,Yes,No
RPL13,PRAMEF6,0,0,0,0,0,0,401,0,422,0,0,0,157,682,STRING_v12,,,,
EXOC2,PTPRU,0,0,0,0,0,0,53,0,0,0,0,398,0,405,STRING_v12,,,,
POLR3A,PRAMEF6,0,57,0,0,0,0,386,0,189,0,0,0,133,538,STRING_v12,,,,
EZR,CCM2,0,0,0,0,0,0,0,0,66,0,0,269,66,306,STRING_v12,No,No,,
ITGA3,PTPRU,0,0,0,0,0,74,0,0,74,0,0,213,50,273,STRING_v12,,,,
RPN1,LAMP1,0,0,0,0,0,122,100,162,0,0,0,92,92,354,STRING_v12,No,No,,
PIK3CD,NRBF2,0,0,0,0,0,55,0,0,0,360,0,0,86,398,STRING_v12,Yes,No,,
MAPKAPK5,CARD14,0,0,0,0,0,0,0,0,0,0,0,159,347,427,STRING_v12,,,,
PHF14,PCBD2,0,0,0,0,0,63,0,213,0,0,0,220,0,374,STRING_v12,,,,
MEIS2,TBX22,0,0,0,0,0,0,0,0,57,0,0,411,69,437,STRING_v12,,,,
MSRB1,PRAMEF6,0,0,0,0,0,0,0,0,178,0,0,550,0,614,STRING_v12,,,,
UBD,PRAMEF6,0,0,0,0,0,0,199,0,185,0,0,0,65,336,STRING_v12,,,,
EIF2AK2,TYK2,0,0,0,0,573,49,86,292,0,0,0,255,0,480,STRING_v12,,,Yes,No
P2RX2,TRPV1,0,0,0,0,0,0,0,0,0,0,0,668,52,671,STRING_v12,,,,
TRAF3,DTX1,0,0,0,0,0,42,0,0,0,0,0,356,50,362,STRING_v12,No,Yes,No,Yes
IL3,TYK2,0,0,0,0,0,0,0,0,0,0,0,644,0,644,STRING_v12,Yes,No,Yes,No
TLR8,SRGN,0,0,0,0,0,197,106,0,0,0,0,76,0,278,STRING_v12,,,,
SLC34A1,PCBD2,0,0,0,0,0,0,74,0,0,0,215,0,104,291,STRING_v12,,,,
FGF17,EOMES,0,0,0,0,0,64,0,0,0,0,0,267,68,304,STRING_v12,,,,
MRPL12,PRAMEF6,0,61,0,0,0,0,449,0,422,0,0,0,163,716,STRING_v12,,,,
APRT,CARD14,0,48,0,0,0,0,294,0,0,0,265,0,155,526,STRING_v12,,,,
CHD4,RPL9,0,0,0,0,0,67,0,292,0,0,0,0,0,311,STRING_v12,Yes,No,,
PRMT2,SETDB2,0,0,0,0,0,47,55,0,49,0,0,223,71,269,STRING_v12,,,No,Yes
ATAD2B,CHD8,0,0,0,0,0,253,55,0,166,0,0,0,80,385,STRING_v12,,,,
EFHB,MRGPRE,0,0,0,0,0,0,0,0,0,0,0,276,0,276,STRING_v12,,,,
TCP1,RPL9,0,0,0,0,0,483,87,0,0,0,0,0,147,562,STRING_v12,,,,
MEAF6,FXR2,0,0,0,0,0,0,0,420,0,0,0,0,0,420,STRING_v12,,,,
GCHFR,PCBD2,0,0,0,0,0,0,75,0,0,0,0,202,166,330,STRING_v12,,,,
LIPT2,IAH1,0,0,0,0,0,0,0,0,0,0,0,0,349,349,STRING_v12,,,,
PCDH11X,PTPRU,0,0,0,0,0,0,62,0,102,0,0,294,0,353,STRING_v12,,,,
DHTKD1,ARNTL2,0,0,0,0,0,0,0,311,0,0,0,0,57,322,STRING_v12,,,,
SCN5A,TRPV1,0,0,0,0,0,0,0,0,0,0,0,355,62,369,STRING_v12,,,,
ARL5B,LAMP1,0,0,0,0,0,0,74,0,0,0,0,392,73,432,STRING_v12,,,,
DBX1,EOMES,0,0,0,0,0,0,0,0,71,0,0,248,74,296,STRING_v12,,,,
MRPL2,RPL9,0,102,0,0,0,54,659,0,579,0,0,0,240,890,STRING_v12,,,,
VAV1,TYK2,0,0,0,0,0,79,67,292,0,0,0,563,0,698,STRING_v12,Yes,No,Yes,No
UBC,PPIAL4C,0,0,0,0,0,0,363,0,96,0,0,0,73,419,STRING_v12,,,,
IFNG,TRPV1,0,0,0,0,0,0,0,0,0,0,0,370,45,372,STRING_v12,,,,
POU3F1,EOMES,0,0,0,0,0,0,61,0,91,0,0,247,0,301,STRING_v12,,,,
PTPN11,NFASC,0,0,0,0,0,0,0,0,139,0,0,56,166,262,STRING_v12,Yes,No,,
MSX2,EOMES,0,0,0,0,0,0,0,0,57,0,0,220,74,259,STRING_v12,,,,
IFIT1,SRGN,0,0,0,0,0,62,0,0,0,0,0,0,264,280,STRING_v12,,,,
ADAR,FXR2,0,0,0,0,0,67,0,0,71,0,0,222,86,301,STRING_v12,,,,
CHMP4B,FXR2,0,0,0,0,0,67,0,292,91,0,0,0,0,347,STRING_v12,,,,
ATG13,NRBF2,0,0,0,0,0,49,0,0,0,0,0,529,226,623,STRING_v12,,,,
CASP1,CXCL5,0,0,0,0,0,60,90,0,0,0,0,296,0,345,STRING_v12,,,,
ESAM,DTX1,0,0,0,0,0,55,0,0,0,0,0,228,73,264,STRING_v12,,,No,Yes
PNPLA1,CARD14,0,0,0,0,0,0,53,0,0,0,0,184,210,336,STRING_v12,,,,
NCKAP1,CHD8,0,0,0,0,0,42,0,0,0,0,0,290,88,325,STRING_v12,,,,
TBC1D1,CARD14,0,0,0,0,0,0,49,0,0,0,0,58,295,313,STRING_v12,,,,
TYR,PYCR1,0,0,0,0,0,73,0,0,0,0,0,337,0,359,STRING_v12,,,,
GDNF,TRPV1,0,0,0,0,0,0,0,0,0,0,0,684,0,684,STRING_v12,,,,
BTLA,EOMES,0,0,0,0,0,74,103,0,0,0,0,390,111,489,STRING_v12,No,No,,
NGF,CXCL5,0,0,0,0,0,0,0,0,0,0,0,488,0,487,STRING_v12,,,,
RETREG1,RPL9,0,0,0,0,0,44,0,0,451,0,0,0,51,458,STRING_v12,,,,
SYT7,LAMP1,0,0,0,0,0,0,0,0,0,0,0,684,41,684,STRING_v12,,,,
PWWP3A,TYK2,0,0,0,0,0,63,0,0,197,0,105,0,0,267,STRING_v12,,,Yes,No
CUL5,TYK2,0,0,0,0,0,0,0,0,0,500,0,220,72,606,STRING_v12,,,Yes,No
AGXT,SLC13A2,0,95,0,0,0,83,67,0,0,0,0,134,89,277,STRING_v12,,,,
BCL6,DTX1,0,0,0,0,0,58,53,0,65,0,0,263,0,303,STRING_v12,Yes,No,No,Yes
PTPRC,SRGN,0,0,0,0,0,312,186,0,0,0,0,180,0,500,STRING_v12,No,No,,
STX5,LAMP1,0,0,0,0,0,60,0,112,0,0,0,302,163,447,STRING_v12,,,,
C15orf40,PPIAL4C,0,0,0,0,0,0,0,0,304,0,0,0,0,304,STRING_v12,,,,
PAXIP1,POLN,0,0,0,0,0,49,110,0,71,0,0,55,168,269,STRING_v12,,,,
REST,PRAMEF6,0,0,0,218,0,0,0,0,97,0,0,0,0,263,STRING_v12,No,Yes,,
PRSS45P,SLC13A2,0,0,0,0,0,0,55,0,0,0,0,255,115,322,STRING_v12,,,,
RUNX3,EOMES,0,0,0,0,0,137,74,0,64,0,0,601,49,664,STRING_v12,,,,
EMX1,EOMES,0,0,0,0,0,48,0,0,49,0,0,582,131,627,STRING_v12,,,,
MCMDC2,ZNF525,0,0,0,0,0,0,0,0,0,0,0,348,0,347,STRING_v12,,,,
ZNF711,TBX22,0,0,0,0,0,86,0,0,0,0,0,203,115,299,STRING_v12,,,,
IL20RB,TYK2,0,0,0,0,0,0,51,0,97,650,0,220,0,734,STRING_v12,,,Yes,No
TRPV3,SRGN,0,0,0,265,0,0,0,0,0,0,0,0,0,265,STRING_v12,,,,
TMEM192,LAMP1,0,0,0,0,0,56,55,434,43,0,0,397,91,673,STRING_v12,,,,
CDK17,TYK2,0,0,0,0,574,0,244,0,98,0,0,0,57,300,STRING_v12,,,Yes,No
LARS2,RPL9,0,44,0,0,0,42,197,0,0,0,0,0,281,400,STRING_v12,,,,
MT-ND3,LINS1,0,0,0,0,0,0,0,0,0,0,0,379,0,379,STRING_v12,,,,
OGG1,POLN,0,57,0,0,0,0,0,0,0,0,0,125,252,328,STRING_v12,,,,
SLC17A5,LAMP1,0,0,0,0,0,74,0,0,0,0,0,762,71,777,STRING_v12,,,,
PTCH2,NFXL1,0,0,0,0,0,0,0,0,0,0,0,0,349,349,STRING_v12,,,,
GPR132,TRPV1,0,0,0,0,0,0,0,0,0,0,0,310,115,363,STRING_v12,,,,
EMP1,SRGN,0,0,0,0,0,70,0,0,0,0,0,249,115,327,STRING_v12,,,,
PGM3,TYK2,0,0,0,0,0,0,0,0,0,0,0,305,56,315,STRING_v12,,,Yes,No
MAGEA3,LAMP1,0,0,0,0,0,0,0,0,0,0,0,270,0,270,STRING_v12,,,,
LAG3,CXCL5,0,0,0,0,0,0,0,0,134,0,0,269,0,339,STRING_v12,,,,
ANK3,CCM2,0,0,0,0,0,0,64,0,98,0,0,287,0,345,STRING_v12,,,,
MARCHF5,USP35,0,0,0,0,0,0,0,0,0,0,0,290,254,447,STRING_v12,,,,
AK9,RPL9,0,61,0,0,0,0,487,0,0,0,0,0,138,548,STRING_v12,,,,
FMN1,CCM2,0,0,0,0,0,0,51,0,99,0,0,303,54,360,STRING_v12,,,,
LYAR,RPL9,0,0,0,0,0,58,0,800,0,0,0,0,0,803,STRING_v12,,,,
GATA6,EOMES,0,0,0,0,0,0,57,0,68,0,0,580,135,637,STRING_v12,Yes,No,,
NOP53,RPL9,0,0,0,0,0,146,0,0,843,0,0,59,0,862,STRING_v12,,,,
WAS,LAMP1,0,0,0,0,0,54,53,0,0,0,0,323,51,347,STRING_v12,No,No,,
RORC,ARNTL2,0,0,0,0,0,0,0,329,113,0,0,323,65,572,STRING_v12,,,,
GALNT1,SRGN,0,0,0,0,0,42,0,0,0,0,0,337,0,337,STRING_v12,,,,
ZBTB16,EOMES,0,0,0,0,0,49,0,0,54,0,0,583,52,596,STRING_v12,No,No,,
ACTB,CMA1,0,0,0,0,0,0,0,0,97,0,0,205,52,260,STRING_v12,No,No,,
SEBOX,TBX22,0,0,0,0,0,49,0,0,126,0,0,157,192,358,STRING_v12,,,,
STX17,NRBF2,0,0,0,0,0,0,0,0,0,0,0,418,0,418,STRING_v12,,,,
TP53,CXCL5,0,0,0,0,0,0,47,0,0,0,0,357,0,361,STRING_v12,No,Yes,,
DLG5,PTPRU,0,0,0,0,0,85,56,0,66,0,0,76,166,264,STRING_v12,,,,
SRP19,RPL9,0,0,0,0,0,74,67,830,363,0,0,0,0,894,STRING_v12,,,,
CYFIP2,CCM2,0,0,0,0,0,48,0,0,50,0,0,307,0,318,STRING_v12,,,,
TMPRSS2,TYK2,0,0,0,0,0,0,0,0,96,0,0,288,0,328,STRING_v12,No,No,Yes,No
USF1,FXR2,0,0,0,0,0,60,0,0,0,0,0,333,0,346,STRING_v12,,,,
RPL8,NFXL1,0,0,0,0,0,0,0,0,319,0,0,0,0,319,STRING_v12,,,,
ETV1,EOMES,0,0,0,0,0,0,52,0,45,0,0,312,42,323,STRING_v12,Yes,No,,
TYR,LAMP1,0,0,0,0,0,0,0,0,45,0,0,367,0,369,STRING_v12,,,,
VPS13B,CHD8,0,0,0,0,0,60,60,0,62,0,0,226,0,272,STRING_v12,,,,
LTB,EOMES,0,0,0,0,0,84,98,0,0,0,0,204,76,310,STRING_v12,Yes,Yes,,
RDH10,PCBD2,0,0,0,0,0,0,74,0,0,0,215,0,104,291,STRING_v12,,,,
RRBP1,LAMP1,0,0,0,0,0,86,0,0,45,0,0,404,0,434,STRING_v12,,,,
CHD3,RPL9,0,0,0,0,0,44,0,292,0,0,0,0,0,294,STRING_v12,,,,
TOMM40,PYCR1,0,0,0,0,0,90,51,0,0,0,0,54,246,301,STRING_v12,,,,
DHDDS,POLN,0,42,0,0,0,0,101,0,0,0,0,0,259,306,STRING_v12,,,,
IL17F,TYK2,0,0,0,0,0,0,99,0,0,0,0,470,44,503,STRING_v12,,,Yes,No
IL2RG,EOMES,0,0,0,0,0,72,103,0,0,0,0,395,65,466,STRING_v12,,,,
CER1,EOMES,0,0,0,0,0,82,83,0,0,0,0,434,45,484,STRING_v12,,,,
MBD5,CHD8,0,0,0,0,0,60,55,0,107,0,0,507,50,560,STRING_v12,,,,
EFCAB6,SETDB2,0,0,0,0,0,0,0,0,69,0,0,138,160,267,STRING_v12,,,No,Yes
NPPB,TRPV1,0,0,0,0,0,0,0,0,0,0,0,310,80,338,STRING_v12,,,,
OCIAD1,NFXL1,0,0,0,0,0,53,0,0,0,0,0,323,250,477,STRING_v12,,,,
MMP12,CXCL5,0,0,0,0,0,108,58,0,0,0,0,419,0,469,STRING_v12,,,,
CHRNA2,GLRA3,0,0,0,201,577,64,51,0,0,0,0,154,91,355,STRING_v12,,,,
PCBP3,FXR2,0,0,0,0,0,0,0,0,91,0,0,153,120,263,STRING_v12,,,,
NDUFS8,RPL9,0,0,0,0,0,49,111,0,100,0,0,60,136,269,STRING_v12,,,,
CCNT1,CHD8,0,0,0,0,0,322,0,0,46,0,0,0,68,344,STRING_v12,,,,
LMAN1,SCAMP1,0,0,0,0,0,110,0,125,0,0,0,90,93,271,STRING_v12,,,,
ZBTB7A,DTX1,0,0,0,0,0,49,53,0,65,0,0,390,0,417,STRING_v12,Yes,Yes,No,Yes
HMG20A,CHD8,0,0,0,0,0,74,0,0,114,0,0,137,349,477,STRING_v12,,,,
AKAP10,CRTAP,0,0,0,0,0,49,0,292,0,0,0,0,0,297,STRING_v12,,,,
HDC,SRGN,0,0,0,0,0,80,0,0,0,0,0,247,0,277,STRING_v12,,,,
SIRT1,LAMP1,0,0,0,0,0,0,0,0,0,0,0,272,63,288,STRING_v12,,,,
DCLRE1B,POLN,0,0,0,0,0,0,96,0,0,500,0,367,115,712,STRING_v12,,,,
CSNK1G1,CHD8,0,0,0,0,0,247,56,0,55,0,0,0,102,316,STRING_v12,,,,
TET2,CHD8,0,0,0,0,0,49,103,0,0,0,0,190,81,280,STRING_v12,No,Yes,,
POLR2C,PRAMEF6,0,57,0,0,0,0,386,0,190,0,0,0,133,538,STRING_v12,,,,
TP53BP1,TBX22,0,0,0,0,0,0,0,0,0,0,0,340,0,340,STRING_v12,No,Yes,,
PODXL,LAMP1,0,0,0,0,0,42,0,0,45,0,0,352,0,355,STRING_v12,,,,
FAHD1,PCBD2,0,83,0,0,0,67,140,0,0,0,0,0,162,300,STRING_v12,,,,
BCAT1,PYCR1,0,59,0,0,0,67,0,0,0,0,0,223,168,356,STRING_v12,,,,
ORC3,CHD8,0,0,0,0,0,300,0,0,71,0,0,0,78,348,STRING_v12,,,,
IKZF1,TYK2,0,0,0,0,0,48,45,0,71,0,0,310,0,339,STRING_v12,No,No,Yes,No
PXDNL,TRPV1,0,0,0,0,0,0,0,0,0,0,0,435,111,476,STRING_v12,,,,
UBE2L3,TYK2,0,0,0,0,0,42,99,0,88,0,0,294,49,375,STRING_v12,,,Yes,No
BTN3A1,LAMP1,0,0,0,0,0,0,0,0,0,0,0,264,0,264,STRING_v12,,,,
CCL18,CXCL5,0,0,0,0,0,75,67,0,0,0,0,722,81,750,STRING_v12,,,,
TRAF2,FXR2,0,0,0,0,0,57,0,206,0,0,0,0,102,268,STRING_v12,No,No,,
ADD3,NFASC,0,0,0,0,0,0,0,0,0,0,0,269,44,271,STRING_v12,,,,
RBBP4,SETDB2,0,0,0,0,0,0,61,0,190,0,0,60,101,271,STRING_v12,,,No,Yes
AP1S2,CCM2,0,0,0,0,0,42,0,273,0,0,0,0,70,295,STRING_v12,,,,
SPINK5,CMA1,0,0,0,0,0,54,0,0,96,0,0,554,45,587,STRING_v12,,,,
DES,PTPRU,0,0,0,200,0,0,74,0,45,0,0,63,70,271,STRING_v12,,,,
MRPL30,RPL9,0,0,0,0,0,62,67,0,510,0,0,0,80,552,STRING_v12,,,,
TNFRSF11B,DTX1,0,0,0,0,0,0,0,0,0,0,0,337,0,337,STRING_v12,,,No,Yes
ETS1,EOMES,0,0,0,0,0,74,106,0,45,0,0,398,0,460,STRING_v12,Yes,Yes,,
ANAPC10,USP35,0,0,0,0,0,0,0,0,0,0,0,0,298,298,STRING_v12,,,,
VIM,EOMES,0,0,0,0,0,0,48,0,0,0,0,349,81,380,STRING_v12,,,,
RAG2,LAMP1,0,0,0,0,0,0,0,0,0,0,0,267,0,267,STRING_v12,,,,
KLRK1,CXCL5,0,0,0,0,0,0,53,0,0,0,0,271,0,280,STRING_v12,,,,
KCNB1,RPL9,0,0,0,0,0,0,293,0,298,0,0,0,90,508,STRING_v12,,,,
NUFIP2,FXR2,0,0,0,0,0,55,0,372,0,0,0,851,44,904,STRING_v12,,,,
NR1D1,ARNTL2,0,0,0,0,0,0,0,0,0,0,0,669,90,685,STRING_v12,,,,
PLAUR,TYK2,0,0,0,0,0,56,55,292,0,0,0,733,0,808,STRING_v12,,,Yes,No
ZNF266,SETDB2,0,0,0,0,0,258,67,0,95,0,0,0,0,318,STRING_v12,,,No,Yes
ZYG11A,PRAMEF6,0,0,0,0,0,0,0,0,0,540,0,0,0,540,STRING_v12,,,,
CDK5,TRPV1,0,0,0,0,0,0,0,0,0,0,0,321,0,321,STRING_v12,,,,
GJB1,NFASC,0,0,0,0,0,72,0,0,0,0,0,366,0,386,STRING_v12,,,,
GZMA,CMA1,0,0,0,112,854,55,202,0,0,0,0,115,0,328,STRING_v12,,,,
NLGN3,FXR2,0,0,0,0,0,0,0,0,0,0,0,371,132,430,STRING_v12,,,,
CCL5,TYK2,0,0,0,0,0,49,62,0,0,0,0,329,47,353,STRING_v12,,,Yes,No
CRK,CCM2,0,0,0,0,0,49,0,0,50,0,0,406,0,416,STRING_v12,,,,
HNRNPR,FXR2,0,0,0,0,0,200,0,58,42,0,0,270,91,433,STRING_v12,,,,
HIF3A,ARNTL2,0,0,0,0,600,0,0,0,284,0,0,145,116,411,STRING_v12,,,,
